City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,juneau,58.3019,-134.4197,-3.0,74,100,2.06,US,1734636786
316,morehead city,34.7229,-76.726,12.23,78,88,4.02,US,1734636730
317,iquique,-20.2208,-70.1431,19.45,77,28,1.73,CL,1734636839
318,corry,41.9203,-79.6403,-1.66,79,100,1.76,US,1734636844
319,linwood,39.3398,-74.5752,9.43,53,0,2.57,US,1734636957
320,terrace,54.5163,-128.6035,-1.05,100,100,8.75,CA,1734636665
321,'alaqahdari dishu,30.4374,63.313,6.2,30,0,1.32,AF,1734636959
322,revda,56.801,59.9303,-15.3,99,98,1.33,RU,1734636923
323,novyy urgal,51.0736,132.5642,-33.52,99,100,1.01,RU,1734636961
324,alice springs,-23.7,133.8833,18.75,20,0,3.6,AU,1734636689
325,mahdia,35.5047,11.0622,15.63,40,20,5.4,TN,1734636964
326,at taj,24.2049,23.2857,10.54,65,0,3.66,LY,1734636965
327,cockburn town,21.4612,-71.1419,26.23,83,0,9.51,TC,1734636752
328,yingchuan,34.1628,113.4639,0.02,47,87,2.25,CN,1734636967
329,iron river,46.0927,-88.6423,-8.45,88,100,3.31,US,1734636968
330,zavetnoye,47.1194,43.8903,-2.74,57,100,1.73,RU,1734636969
331,burela de cabo,43.65,-7.4,8.64,73,96,2.65,ES,1734636970
332,vila velha,-20.3297,-40.2925,26.97,91,20,4.12,BR,1734636891
333,kolno,53.4115,21.9291,8.55,77,100,6.73,PL,1734636972
334,fort bragg,35.139,-79.006,12.91,67,100,3.6,US,1734636973
335,dinkelsbuhl,49.0694,10.3199,3.95,95,100,8.38,DE,1734636974
336,khadyzhensk,44.4256,39.5319,2.82,70,85,1.37,RU,1734636975
337,sandnessjoen,66.0217,12.6316,-0.94,64,75,5.14,NO,1734636976
338,new norfolk,-42.7826,147.0587,10.51,82,44,0.84,AU,1734636977
339,rio grande,-32.035,-52.0986,20.79,95,100,1.55,BR,1734636693
340,ouallam,14.3188,2.0866,19.2,22,13,4.6,NE,1734636979
341,gadzhiyevo,69.2551,33.3362,-13.73,79,100,1.81,RU,1734636980
342,san antonio de pale,-1.4014,5.6325,27.04,84,65,3.43,GQ,1734636981
343,alotau,-10.3069,150.4462,25.96,89,99,1.97,PG,1734636982
344,fedorovskiy,45.0972,40.9517,1.22,88,100,2.87,RU,1734636985
345,cill airne,52.05,-9.5167,5.11,89,99,2.35,IE,1734636986
346,kalymnos,36.95,26.9833,12.74,82,20,1.54,GR,1734636987
347,acapulco de juarez,16.8634,-99.8901,29.9,66,75,4.12,MX,1734636877
348,i-n-salah,27.1935,2.4607,14.78,35,0,3.31,DZ,1734636989
349,samraong,12.4526,105.5873,21.56,68,100,3.23,KH,1734636990
350,kupang,-10.1667,123.5833,24.32,100,40,1.03,ID,1734636899
351,pobe,6.9801,2.6649,23.3,35,9,2.26,BJ,1734636992
352,belmonte,-15.8631,-38.8828,27.46,75,0,3.45,BR,1734636993
353,balaklava,44.5,33.6,9.65,51,68,6.46,UA,1734636994
354,ulsteinvik,62.3432,5.8487,5.97,75,100,3.13,NO,1734636995
355,trat,12.5,102.5,19.43,72,56,3.74,TH,1734636996
356,kurchatov,51.6601,35.6521,1.95,96,100,4.92,RU,1734636997
357,warangal,18.0,79.5833,22.52,49,100,1.68,IN,1734636998
358,conception bay south,47.4999,-52.9981,7.53,90,100,4.63,CA,1734636999
359,susanville,40.4163,-120.653,6.01,77,0,0.45,US,1734637001
360,les anglais,18.3054,-74.2197,26.79,73,17,0.88,HT,1734637002
361,camarinas,43.1311,-9.1817,12.35,60,57,6.21,ES,1734637003
362,shambu,9.5667,37.1,12.44,50,16,0.33,ET,1734637004
